contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,timeToExpiry,mid,moneyness,impliedVol,delta,gamma,vega,theta,rho,speed
SPY260313C00480000,2026-03-10 20:10:39+00:00,480.0,197.82,185.12,187.59,0.0,0.0,12.0,30,2.722659443359375,True,REGULAR,USD,0.0027397260273972603,186.35500000000002,0.7206557994165894,2.6616005859375003,0.9922787974499772,0.00022896598352129262,0.7407091129198689,-376.90160282088857,1.3001727126147113,-6.3196921301947005e-06
SPY260313C00485000,2026-03-11 14:27:03+00:00,485.0,190.84,179.86,182.6,0.0,0.0,4.0,13,2.4707069482421877,True,REGULAR,USD,0.0027397260273972603,181.23000000000002,0.7281626306605122,2.3784541015625003,0.9954887794453077,0.00015909484994332715,0.45992258305756856,-217.00743902698525,1.3200707781421661,-5.248828253051232e-06
SPY260313C00495000,2026-03-03 14:53:02+00:00,495.0,178.75,169.86,172.6,0.0,0.0,,2,2.328129179687499,True,REGULAR,USD,0.0027397260273972603,171.23000000000002,0.7431762931483579,2.2368808593750003,0.995263734736632,0.00017667506472711662,0.480343536124816,-213.81593220405946,1.3470580675086388,-6.143140146968892e-06
SPY260313C00500000,2026-03-12 19:53:18+00:00,500.0,167.0,164.86,167.6,-6.649994,-3.8295388,2.0,23,2.2558637353515625,True,REGULAR,USD,0.0027397260273972603,166.23000000000002,0.7506831243922807,2.16853515625,0.9951183992278896,0.0001872209110807785,0.4934630742954633,-213.19345952419576,1.360489797762876,-6.680367765266986e-06
SPY260313C00505000,2026-03-03 14:50:51+00:00,505.0,168.68,159.81,162.6,0.0,0.0,,1,2.144535888671875,True,REGULAR,USD,0.0027397260273972603,161.20499999999998,0.7581899556362035,2.0464892578125005,0.9958392966764499,0.0001720066556171111,0.42784706743289863,-177.89427328788298,1.3755716129087652,-6.619838839989395e-06
SPY260313C00510000,2026-03-12 18:56:54+00:00,510.0,157.63,154.86,157.6,-1.3199921,-0.8304449,1.0,7,2.1171922070312497,True,REGULAR,USD,0.0027397260273972603,156.23000000000002,0.7656967868801263,2.03184375,0.9948316064893743,0.0002102379502881378,0.519200688352013,-210.78084119242095,1.3873625413336481,-7.926473286924312e-06
SPY260313C00515000,2026-03-09 17:48:18+00:00,515.0,154.35,149.87,152.61,0.0,0.0,2.0,8,2.0605517236328126,True,REGULAR,USD,0.0027397260273972603,151.24,0.7732036181240491,1.9830253906250004,0.9943115511786351,0.0002345760219031527,0.5653868852258279,-223.03736772890554,1.4000834040890908,-8.939632081111603e-06
SPY260313C00520000,2026-03-09 16:03:46+00:00,520.0,150.02,144.87,147.61,0.0,0.0,4.0,3,1.9921875390625,True,REGULAR,USD,0.0027397260273972603,146.24,0.780710449367972,1.9146796875,0.9941521815731684,0.00024898024669153254,0.5794218404921967,-221.06589932029763,1.413491917505198,-9.777723863921636e-06
SPY260313C00525000,2026-03-06 20:44:50+00:00,525.0,148.39,139.87,142.61,0.0,0.0,4.0,1,1.9218753906250001,True,REGULAR,USD,0.0027397260273972603,141.24,0.7882172806118947,1.8463339843750002,0.9939951705856148,0.00026433509202063404,0.5931969700728268,-218.65683065125586,1.4269056059475744,-1.071195653860799e-05
SPY260313C00535000,2026-02-17 16:18:40+00:00,535.0,149.18,129.87,132.61,0.0,0.0,18.0,14,1.787110439453125,True,REGULAR,USD,0.0027397260273972603,131.24,0.8032309430997403,1.7145244140625,0.9935687081034575,0.0003024902498653598,0.6303603568930165,-216.3660088623437,1.4535221878468316,-1.304261618634941e-05
SPY260313C00545000,2026-02-13 18:57:46+00:00,545.0,141.75,119.88,122.61,0.0,0.0,1.0,3,1.6582048339843751,True,REGULAR,USD,0.0027397260273972603,121.245,0.8182446055875859,1.5900375976562504,0.9929168971661224,0.00035521640708751024,0.6864900537133152,-218.67744814871355,1.4797170070734198,-1.6252131187754388e-05
SPY260313C00550000,2026-03-11 15:12:38+00:00,550.0,126.58,114.83,117.62,0.0,0.0,1.0,6,1.5683615332031249,True,REGULAR,USD,0.0027397260273972603,116.225,0.8257514368315088,1.4948417968750003,0.9935655415469808,0.00034709549275592527,0.6306349634784166,-191.7096910529945,1.4946540640209638,-1.708752452642134e-05
SPY260313C00555000,2026-03-06 14:30:38+00:00,555.0,119.0,109.85,112.62,0.0,0.0,3.0,11,1.5136743066406249,True,REGULAR,USD,0.0027397260273972603,111.235,0.8332582680754316,1.4460234375,0.992841020104369,0.00039428273597965935,0.6929739867400493,-202.70485237198568,1.5070026750027103,-1.974718656634829e-05
SPY260313C00560000,2026-03-06 16:57:25+00:00,560.0,115.72,104.86,107.62,0.0,0.0,1.0,2,1.453127734375,True,REGULAR,USD,0.0027397260273972603,106.24000000000001,0.8407650993193544,1.3874414062500002,0.9923662092188963,0.0004348569966437719,0.7333224010879369,-205.6813633017224,1.5198239222846097,-2.2462600515797753e-05
