contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,timeToExpiry,mid,moneyness,impliedVol,delta,gamma,vega,theta,rho,speed
SPY260313P00590000,2026-03-12 20:07:17+00:00,590.0,0.01,0.01,0.02,-0.01,-50.0,109.0,2826,0.804689453125,False,REGULAR,USD,0.0027397260273972603,0.015,0.8858060867828912,0.80162109375,-0.0017884572458389814,0.00020494791655449327,0.19968547827592095,-29.16968587191036,-0.003303693643903404,-2.1671810296154413e-05
SPY260313P00595000,2026-03-12 19:40:44+00:00,595.0,0.01,0.01,0.02,-0.01,-50.0,1723.0,5029,0.7500025,False,REGULAR,USD,0.0027397260273972603,0.015,0.893312918026814,0.7528027343750001,-0.0019548061685294993,0.00023661398433266428,0.21649877083319255,-29.696525604929146,-0.003608577316091972,-2.6368392935483717e-05
SPY260313P00600000,2026-03-12 20:01:24+00:00,600.0,0.02,0.01,0.02,-0.01,-33.333336,2645.0,11112,0.70312796875,False,REGULAR,USD,0.0027397260273972603,0.015,0.9008197492707368,0.703984375,-0.0021470518362329827,0.00027550535202060277,0.23573653647559434,-30.234640650310702,-0.003960810771236239,-3.24699674750356e-05
SPY260313P00605000,2026-03-12 20:14:53+00:00,605.0,0.02,0.01,0.02,-0.01,-33.333336,1896.0,3147,0.648441015625,False,REGULAR,USD,0.0027397260273972603,0.015,0.9083265805146596,0.6502841796874999,-0.0022220364036404927,0.0003076836146420748,0.24318758273628557,-28.806845262270983,-0.004095843048411641,-3.907058151663944e-05
SPY260313P00610000,2026-03-12 20:14:57+00:00,610.0,0.02,0.02,0.03,-0.01,-33.333336,1345.0,3615,0.632816171875,False,REGULAR,USD,0.0027397260273972603,0.025,0.9158334117585825,0.6307568359375,-0.003653387307755107,0.0004967038739308772,0.3807968538530601,-43.74609355328148,-0.0067350410399453445,-6.133743474951442e-05
SPY260313P00611000,2026-03-12 16:08:38+00:00,611.0,0.03,0.02,0.03,0.0,0.0,728.0,2727,0.6171913281250001,False,REGULAR,USD,0.0027397260273972603,0.025,0.917334778007367,0.6209931640624999,-0.00374988797110698,0.0005164508166508656,0.38980699340419184,-44.08636484997137,-0.006912007483022025,-6.45582017225796e-05
SPY260313P00612000,2026-03-12 16:25:02+00:00,612.0,0.02,0.02,0.03,-0.02,-50.0,52.0,1032,0.6093789062500001,False,REGULAR,USD,0.0027397260273972603,0.025,0.9188361442561516,0.6112294921874999,-0.0038508097633046523,0.0005373424701354057,0.3991988733278473,-44.43700267905484,-0.00709707329595329,-6.800489877384312e-05
SPY260313P00613000,2026-03-12 19:53:27+00:00,613.0,0.03,0.02,0.03,0.0,0.0,106.0,863,0.5976602734375001,False,REGULAR,USD,0.0027397260273972603,0.025,0.9203375105049361,0.6014658203125001,-0.003956463239241481,0.0005594692951631305,0.4089978712097814,-44.79874455350321,-0.0072908074142611036,-7.169776739914378e-05
SPY260313P00614000,2026-03-12 19:59:29+00:00,614.0,0.03,0.02,0.03,-0.01,-25.0,1223.0,1543,0.585941640625,False,REGULAR,USD,0.0027397260273972603,0.025,0.9218388767537207,0.5868203125,-0.0038129396561152884,0.0005547576213295387,0.3956783191187544,-42.28262452091447,-0.00702442522652736,-7.318474416287493e-05
SPY260313P00615000,2026-03-12 20:04:55+00:00,615.0,0.03,0.02,0.03,-0.01,-25.0,1402.0,1904,0.57812921875,False,REGULAR,USD,0.0027397260273972603,0.025,0.9233402430025053,0.577056640625,-0.003919196219459797,0.0005782120030026231,0.4055453110825458,-42.61413520092936,-0.00721919752755441,-7.728904914599357e-05
